"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"1",-109.52066,33.95844,3.3,941,228,3048,1.76911764705882
"2",-117.74306,34.39376,11.1,539,780,1920,2.13
"3",-78.86671,41.54392,7,1134,93,559,6.860625
"4",-78.88101,41.43454,7.5,1108,104,507,3.785
"5",-78.98709,41.37257,7.6,1126,99,531,5.0925
"6",-78.97228,41.50512,7.1,1126,96,570,3.915
"7",-79.11679,41.53944,7.2,1133,98,533,4.655
"8",-78.7888,41.92363,6.7,1178,59,651,6.7508
"9",-78.71091,41.76057,6.8,1161,78,575,5.0925
"10",-78.7949,41.74226,6.6,1163,72,641,5.0925
"11",-78.88646,41.71117,6.7,1142,94,572,4.43607142857143
"12",-79.06325,41.82094,7.2,1130,109,486,4.085
"13",-79.23828,41.77171,6.9,1127,104,573,3.42675
"14",-79.11853,41.73842,7,1130,102,564,4.09249999999999
"15",-79.06356,41.67484,6.9,1125,94,604,5.0925
"16",-79.17162,41.66381,7.1,1127,100,560,2.9425
"17",-78.89742,41.89838,7.2,1105,126,444,6.0775
"18",-81.649,30.76695,20.3,1299,195,30,2.82595833333333
"19",-82.06633,30.95255,19.4,1288,304,30,4.93
"20",-83.75007,30.71974,19.6,1339,321,30,3.1435
"21",-83.19682,30.72741,19.4,1309,357,91,3.2541875
"22",-83.90304,30.82533,19.5,1338,311,91,0.398000000000001
"23",-83.66567,30.86,19.4,1333,331,91,3.32503571428571
"24",-84.27585,30.77098,19.5,1341,308,30,2.73
"25",-84.69763,30.94989,19.3,1393,292,30,4.804
"26",-87.87776,30.78113,19.5,1637,113,30,1.1375
"27",-88.38334,30.90222,18.4,1594,202,91,2.60282352941176
"28",-81.5196,31.67773,19.2,1256,274,6,3.58407142857143
"29",-81.74373,31.62852,19.3,1265,296,30,7.27
"30",-82.28736,31.158,19.2,1257,344,30,9.3175
"31",-82.52029,31.31979,19.1,1245,349,30,4.70207142857143
"32",-82.97561,31.48325,18.9,1276,358,91,1.5
"33",-82.62241,31.47565,19,1252,351,61,4.66490909090909
"34",-82.34672,31.82552,18.9,1187,382,30,5.6225
"35",-83.17266,30.99626,19.2,1300,363,91,4.34191666666667
"36",-82.98991,31.2029,19.1,1284,362,30,3.667
"37",-83.24608,31.39557,19,1263,370,91,1.91
"38",-83.42471,31.56966,18.8,1215,390,91,3.73140909090909
"39",-83.89479,31.51396,18.9,1264,361,91,3.934875
"40",-121.48905,42.99179,6.5,541,684,1392,0.3326875
"41",-83.91621,31.71857,18.9,1228,388,91,3.139125
"42",-83.73896,31.95498,18.8,1174,443,91,5.90635714285714
"43",-84.54359,31.41524,19,1326,336,30,5.62
"44",-84.97532,31.81659,18.3,1349,349,68,3.75578571428571
"45",-84.3535,31.88502,18.5,1274,380,91,2.5858125
"46",-85.65089,31.21858,18.5,1461,272,91,2.39622727272727
"47",-85.47607,31.69618,18.3,1385,321,91,3.13333333333333
"48",-85.40851,31.9379,17.9,1369,293,152,0.82325
"49",-86.20308,31.12331,18.4,1530,243,91,2.92166666666667
"50",-86.68836,31.23559,18.3,1571,245,91,1.30225
"51",-86.03796,31.5913,18.3,1453,295,91,4.43607142857143
"52",-86.51508,31.70837,18.3,1465,309,91,3.57785714285714
"53",-86.43819,31.95222,18.3,1429,292,152,8.8625
"54",-87.23207,31.12618,18.4,1643,191,91,4.945
"55",-87.79377,31.01303,18.5,1632,157,91,1.51585714285714
"56",-87.16719,31.35077,18.4,1610,202,91,6.41892857142857
"57",-87.07656,31.60291,18.2,1537,234,152,5.2137
"58",-87.56318,31.72718,18.1,1474,324,75,4.48155
"59",-87.48735,31.96224,18,1439,341,30,4.558
"60",-88.27805,31.12908,18.4,1567,229,91,2.86833333333333
"61",-88.04678,31.85221,18.1,1426,325,30,2.49425
"62",-109.36858,31.58028,14.3,592,811,1902,1.9044
"63",-109.47158,31.94295,15.3,421,1054,1525,4.01333333333333
"64",-110.26288,31.36322,15,708,772,1991,1.4775
"65",-110.42094,31.76911,15.3,478,921,1686,4.638
"66",-111.26213,31.45575,16.6,550,985,1407,5.8375
"67",-81.04866,32.15142,18.7,1311,200,30,4.62508333333333
"68",-81.52548,32.34431,18.8,1235,301,30,3.663
"69",-81.96727,32.7296,18.3,1214,356,30,1.7995
"70",-82.44535,32.57717,18.3,1181,389,91,3.04716666666667
"71",-82.44086,32.8813,18,1193,375,91,4.5407
"72",-82.94604,32.72036,18.2,1188,407,91,3.61759090909091
"73",-83.35376,32.25657,18.5,1176,438,91,4.64721428571429
"74",-83.56225,32.45567,18.3,1179,439,91,3.04676666666666
"75",-83.07678,32.51452,18.2,1184,427,91,4.8790625
"76",-83.19736,32.71664,18.1,1169,436,122,5.36885
"77",-83.53785,32.63163,18.2,1174,435,122,6.63091666666666
"78",-83.97453,32.70549,17.7,1221,412,152,4.34833333333333
"79",-83.38203,32.89132,17.7,1178,424,152,4.65718181818182
"80",-84.18246,32.35301,18.2,1221,415,91,2.99704545454546
"81",-84.79819,32.25142,17.7,1309,359,152,3.5336
"82",-84.49335,32.97731,17,1301,371,213,5.15166666666667
"83",-84.75741,32.8669,16.7,1325,358,244,3.90166666666667
"84",-85.8703,32.04654,18.1,1380,301,152,5.60571428571428
"85",-85.31078,32.1618,17.6,1320,355,91,1.3424
"86",-85.78754,32.30159,17.8,1363,340,91,2.9064375
"87",-85.23497,32.38578,17.5,1316,363,91,4.8263
"88",-85.70959,32.52858,17.6,1379,336,91,3.00245454545455
"89",-85.13336,32.86119,16.9,1354,326,244,4.354
"90",-85.33568,32.81866,16.8,1392,321,213,1.8881
"91",-121.41743,42.99044,6.3,677,606,1588,1.6153947368421
"92",-85.53625,32.99041,16.6,1408,319,213,1.964
"93",-86.92212,32.08172,18,1442,313,91,4.3951875
"94",-86.3482,32.18164,18,1394,327,91,3.215
"95",-86.18965,32.65298,17.1,1385,325,152,1.05654545454546
"96",-86.67384,32.78649,16.8,1455,290,183,5.74875
"97",-86.09886,32.89536,16.5,1443,289,213,3.45891666666667
