"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"1",-109.52066,33.95844,3.3,941,228,3048,1.93316666666667
"2",-117.74306,34.39376,11.1,539,780,1920,5.16142857142857
"3",-78.92489,41.61478,7,1122,115,505,7.535
"4",-78.86671,41.54392,7,1134,93,559,4.53
"5",-78.88101,41.43454,7.5,1108,104,507,1.456
"6",-78.98709,41.37257,7.6,1126,99,531,2.73
"7",-78.97228,41.50512,7.1,1126,96,570,7.4
"8",-79.11679,41.53944,7.2,1133,98,533,6.8955
"9",-79.23582,41.50926,7.3,1132,99,557,2.184
"10",-78.71091,41.76057,6.8,1161,78,575,2.73
"11",-78.7949,41.74226,6.6,1163,72,641,1.82
"12",-78.88646,41.71117,6.7,1142,94,572,3.6530625
"13",-79.06325,41.82094,7.2,1130,109,486,9.304
"14",-79.23828,41.77171,6.9,1127,104,573,4.83
"15",-79.11853,41.73842,7,1130,102,564,9.304
"16",-79.06356,41.67484,6.9,1125,94,604,3.872
"17",-79.17162,41.66381,7.1,1127,100,560,6.028
"18",-78.89742,41.89838,7.2,1105,126,444,7.95
"19",-78.98493,41.73682,6.7,1142,83,620,3.61
"20",-81.649,30.76695,20.3,1299,195,30,2.20725
"21",-82.06633,30.95255,19.4,1288,304,30,3.505
"22",-83.75007,30.71974,19.6,1339,321,30,2.87111111111111
"23",-83.19682,30.72741,19.4,1309,357,91,2.8643125
"24",-83.90304,30.82533,19.5,1338,311,91,1.432
"25",-83.66567,30.86,19.4,1333,331,91,6.07061538461538
"26",-84.27585,30.77098,19.5,1341,308,30,5.554
"27",-84.69763,30.94989,19.3,1393,292,30,4.83833333333333
"28",-87.87776,30.78113,19.5,1637,113,30,3.8375
"29",-88.38334,30.90222,18.4,1594,202,91,3.5256875
"30",-81.5196,31.67773,19.2,1256,274,6,3.29657142857143
"31",-81.74373,31.62852,19.3,1265,296,30,7.55
"32",-82.28736,31.158,19.2,1257,344,30,6.33
"33",-82.52029,31.31979,19.1,1245,349,30,6.04714285714286
"34",-82.97561,31.48325,18.9,1276,358,91,3.5575
"35",-82.62241,31.47565,19,1252,351,61,3.9961
"36",-82.34672,31.82552,18.9,1187,382,30,3.96
"37",-83.17266,30.99626,19.2,1300,363,91,3.71363636363636
"38",-82.98991,31.2029,19.1,1284,362,30,4.04045833333333
"39",-83.24608,31.39557,19,1263,370,91,5.05409999999999
"40",-83.42471,31.56966,18.8,1215,390,91,3.59359090909091
"41",-83.89479,31.51396,18.9,1264,361,91,3.661375
"42",-121.48905,42.99179,6.5,541,684,1392,2.79
"43",-83.91621,31.71857,18.9,1228,388,91,3.85492857142857
"44",-83.73896,31.95498,18.8,1174,443,91,1.595
"45",-84.54359,31.41524,19,1326,336,30,2.75
"46",-84.97532,31.81659,18.3,1349,349,68,5.81733333333333
